Text,X.M.._twitter_id,X.M..language..,Not-related, other flood identification,rain identification,disaster management,flood identification,consequence score,irony(politics,emotional (positive or negative),effects on social life,situation overview,weather warning,flood aid,volunteers,timeperiod,X.M..posted_time..,daynight,timeperiod(hourly)
Καλαμάτα: Εγκλωβισμένοι 50 σπουδαστές στην φοιτητική εστία https://t.co/aPRoPj0PWi ,7.73446890344092E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,8,07/09/2016 09:04:43,day,10
Καλαμάτα: Εγκλωβισμένοι 50 σπουδαστές στην φοιτητική εστία https://t.co/sIWfxsmW6d ,7.73440515765313E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,8,07/09/2016 08:39:23,day,9
Καλαμάτα: Εγκλωβισμένοι 50 σπουδαστές στην φοιτητική εστία https://t.co/vZDAsU5hWI https://t.co/KWBE3YV2Sr ,7.73512915676574E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,18,07/09/2016 13:27:04,day,14
Καλαμάτα: Εγκλωβισμένοι 50 σπουδαστές στην φοιτητική εστία https://t.co/YU4N1Q43ad ,7.73450064119431E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,12,07/09/2016 09:17:19,day,10
Καλαμάτα: Εγκλωβισμένοι 50 σπουδαστές στην φοιτητική εστίαhttps://t.co/um1Ctcp8nJ https://t.co/BVSLR0Pu1M ,7.73475985564074E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,12,07/09/2016 11:00:20,day,11
Καλαμάτα: Εγκλωβίστηκαν φοιτητές στο ΤΕΙ - Τι λέει στο star.gr ο πρόεδρός του: https://t.co/HvktMd8c84 https://t.co/LXl9ijjbcM ,7.73481018338804E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,12,07/09/2016 11:20:20,day,12
"Καλαμάτα: Εικόνες σαν σε ταινία από τη φονική κακοκαιρία που σαρώνει τη χώρα,https://t.co/GCWjoeYdGY ",7.73463702477628E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 10:11:31,day,11
"Καλαμάτα: Έκλεισαν αεροδρόμιο και αρχαιολογικός χώρος #Μεσσηνης, λόγω #κακοκαιρίας [lifo.gr]https://t.co/PjCbxXNTP5 ",7.73580860436025E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,18,07/09/2016 17:57:04,day,18
"Καλαμάτα: Έκλεισαν αεροδρόμιο και αρχαιολογικός χώρος Μεσσήνης, λόγω κακοκαιρίας https://t.co/dVxjaXbjDU ",7.73550069081575E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,18,07/09/2016 15:54:42,day,16
Καλαμάτα: Έκλεισε το αεροδρόμιο της πόλης και ο αρχαιολογικός χώρος της Μεσσήνης https://t.co/eaajwgBbFf ,7.73551409149116E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,18,07/09/2016 16:00:02,day,16
"Καλαμάτα: Καταγραφή των ζημιών από την κακοκαιρία -Καταστροφές σε σπίτια, καταστήματα, δρόμους και σχολεία https://t.co/JLnNMrbdsC ",7.73621165369811E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,24,07/09/2016 20:37:13,night,21
"Καλαμάτα: Καταγραφή των ζημιών από την κακοκαιρία -Καταστροφές σε σπίτια, καταστήματα, δρόμους και σχολεία https://t.co/uAwpsQpR60 ","7,73775263704478E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,36,08/09/2016 06:49:33,night,31
"Καλαμάτα: Καταγραφή των ζημιών από την κακοκαιρία -Καταστροφές σε σπίτια, καταστήματα, δρόμους και σχολεία https://t.co/y88QIBPQoI ","7,73781889316454E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,36,08/09/2016 07:15:53,day,32
"Καλαμάτα: Καταγραφή των ζημιών από την κακοκαιρία -Καταστροφές σε σπίτια, καταστήματα,… https://t.co/EuXvDDWxaX https://t.co/MxDspyJn9l ",7.73624928633446E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,24,07/09/2016 20:52:10,night,21
"Καλαμάτα: Καταγραφή των ζημιών σε σπίτια, καταστήματα, δρόμους και σχολεία https://t.co/HwAaJiPxOG https://t.co/efus8RTt1s ","7,73789725266153E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,36,08/09/2016 07:47:01,day,32
Καλαμάτα: Μεγάλες οι ζημιές από την κακοκαιρία https://t.co/ywJ0nh8xiC ,7.73652204464906E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,24,07/09/2016 22:40:33,night,23
Καλαμάτα: Μετρούν ζημιές και προβλήματα - Η εικόνα μετά τη φονική κακοκαιρία στη Μεσσηνία… https://t.co/35QAoO7Hd2 https://t.co/a50UyANpHf ,"7,73827317625791E+017",el,,N,N,Y,N,5,N,N,N,Y,N,N,N,36,08/09/2016 10:16:24,day,35
Καλαμάτα: Μετρούν ζημιές και προβλήματα - Η εικόνα μετά τη φονική κακοκαιρία στη Μεσσηνία… https://t.co/bR55R8Yt2e https://t.co/fOYS5qetXJ ,"7,73827057922904E+017",el,,N,N,Y,N,5,N,N,N,Y,N,N,N,36,08/09/2016 10:15:22,day,35
Καλαμάτα: Μια νεκρή και 80 φοιτητές εγκλωβισμένοι. Αποκλεισμένα 8 χωριά - https://t.co/5iSyCncrOI ,7.73425970795667E+017,el,,N,N,Y,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:41:35,day,8
Καλαμάτα: Μια νεκρή και 80 φοιτητές εγκλωβισμένοι. Αποκλεισμένα 8 χωριά https://t.co/DXR3cCAQ3f #Κοινωνία https://t.co/IrziFeIB4w ,7.7341206471501E+017,el,,N,N,Y,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:46:20,night,7
Καλαμάτα: Μια νεκρή και 80 φοιτητές εγκλωβισμένοι. Αποκλεισμένα 8 χωριά https://t.co/fKueLtTlMt ,7.73412528374383E+017,el,,N,N,Y,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:48:10,night,7
Καλαμάτα: Μια νεκρή και 80 φοιτητές εγκλωβισμένοι. Αποκλεισμένα 8 χωριά https://t.co/JuVTxgkym1 ,7.73412528353345E+017,el,,N,N,Y,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:48:10,night,7
Καλαμάτα: Μια νεκρή και 80 φοιτητές εγκλωβισμένοι. Αποκλεισμένα 8 χωριά https://t.co/ZKtl70axHZ ,7.73413299882975E+017,el,,N,N,Y,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:51:14,night,7
Καλαμάτα: Μία νεκρή και βιβλική καταστροφή από την κακοκαιρία [βίντεο+φωτο] https://t.co/sDZLu4To8A μέσω του χρήστη @directnews.gr ,7.7341187563153E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:45:35,night,7
Καλαμάτα: Ξεκίνησε η καταγραφή των ζημιών - Ποιοι οι πρώτοι στόχοι https://t.co/0rwRaQa9YG https://t.co/wqIZs1PGDK ,"7,73962865019683E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 19:15:01,day,44
Καλαμάτα: Ξεκίνησε η καταγραφή των ζημιών – Ποιοι οι πρώτοι στόχοι https://t.co/AJnxNbw1ZF eidhseis nea ,"7,73911141579887E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 15:49:29,day,40
Καλαμάτα: Ξεκίνησε η καταγραφή των ζημιών – Ποιοι οι πρώτοι στόχοι https://t.co/iRJpWCyVtv eidiseis νεα σημερα ,"7,73912341318697E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 15:54:15,day,40
Καλαμάτα: Ξεκίνησε η καταγραφή των ζημιών – Ποιοι οι πρώτοι στόχοι https://t.co/SRnTVyZwjr  ειδήσεις Ελλάδα ,"7,73911209976406E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 15:49:45,day,40
Καλαμάτα: Ο απολογισμός της καταστροφής! Προβλήματα σε μετακινήσεις- λειτουργία ... https://t.co/ZOJ5418OEX ,"7,73844348601414E+017",el,,N,N,Y,N,3,N,N,N,Y,N,N,N,36,08/09/2016 11:24:04,day,36
"Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες καταστροφής [pics, vids]... https://t.co/f6aszXM8i1 ","7,73802966260158E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 08:39:38,day,33
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες καταστροφής https://t.co/73S6t854r1 ,"7,73789304174875E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 07:45:21,day,32
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες καταστροφής https://t.co/BByPt0seJN ,"7,73774822652383E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 06:47:48,night,31
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες καταστροφής https://t.co/Fz9uCnkpMJ ,"7,7377492342902E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 06:48:12,night,31
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες καταστροφής https://t.co/i7w20gkUVt ,"7,73774883553735E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 06:48:02,night,31
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες… https://t.co/G6ngOZ6y4C https://t.co/yVSGPFrXwD ,"7,73778550323188E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 07:02:37,night,32
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες | EvivaNews https://t.co/nPa31j4rsl ,"7,73783322526884E+017",el,,N,N,N,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 07:21:34,day,32
Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες https://t.co/qlELGSuUTj ,"7,73778690421494E+017",el,,N,N,N,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 07:03:10,night,32
"Καλαμάτα: Σε έκτακτη ανάγκη, κοκκίνισε η παραλία της!!! (Φωτογραφίες) https://t.co/8CR5LL26dh https://t.co/5VoBts5R8t ",7.73515601935413E+017,el,,N,N,Y,N,4,N,N,N,Y,N,N,N,18,07/09/2016 13:37:45,day,14
Καλαμάτα: Σε εξέλιξη σύσκεψη στο διοικητήριο της Περιφέρειας για την αντιμετώπιση των προβλημάτων από την κακοκαιρία https://s ,7.73549601576157E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 15:52:51,day,16
Καλαμάτα: Σε εξέλιξη σύσκεψη στο διοικητήριο της Περιφέρειας για την αντιμετώπιση των προβλημάτων από την... https://t.co/sO62ODMwNl ,7.73549401222636E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 15:52:03,day,16
"Καλαμάτα: Σε κατάσταση εκτάκτου ανάγκης - Έκλεισε το αεροδρόμιο | ""Ενδείξεις-Αποδείξεις"" https://t.co/xSEEF7QiHe ",7.73559398392365E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,18,07/09/2016 16:31:47,day,17
Καλαμάτα: Τα άκουσαν Τόσκας και Κωνσταντινέας-[Βίντεο]https://t.co/2x1VX8acc3#Ελλάδαvia @thepapergr https://t.co/Plhxr7giyl ,7.73573922608521E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 17:29:30,day,18
Καλαμάτα: Τρεις νεκροί απο τη θεομηνία- Αναφορά για αγνοούμενο | Nantia Report https://t.co/6SNoZTXLgN ,7.73457604563591E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 09:47:17,day,10
Καλαμάτα: Τρεις νεκροί απο τη θεομηνία- Αναφορά για αγνοούμενο | Nantia Report https://t.co/ff3fOUzaBl ,7.73486490038968E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:42:04,day,12
Καλαμάτα: Τρεις νεκροί και βιβλική καταστροφή από την κακοκαιρία [βίντεο+φωτο] https://t.co/VBzcsYWtxz μέσω του χρήστη @directnews.gr ,7.73459524120416E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 09:54:55,day,10
Καλαμάτα: Τρεις νεκροί και ένας αγνοούμενος από την κακοκαιρία - Φωτό&amp;Βίντεο - ilia24.gr https://t.co/2wuYrnWEQc ,7.73423109097546E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:30:13,day,8
Καλαμάτα: Τρεις νεκροί και ένας αγνοούμενος από την κακοκαιρία - Φωτό&amp;Βίντεοhttps://t.co/ExDmPkNK1E ,7.73423824327086E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:33:03,day,8
Καλαμάτα: Τρεις νεκροί και μία αγνοούμενη από την κακοκαιρία https://t.co/sBLx3rGpwI ,7.73416974818898E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 07:05:50,night,8
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/9iDmTLnRok https://t.co/Gfq3juZe5u ,"7,73971968315896E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 19:51:11,night,44
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/c4g0w04y3X https://t.co/IZ7lWSk65w ,"7,74051191776948E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,09/09/2016 01:05:59,night,50
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/ftCzvJjsyh ,"7,73901763082609E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 15:12:13,day,40
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/LBY0UgwyV9 ,"7,73905956212179E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 15:28:53,day,40
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/LGa1oT3549 ,"7,7389982717644E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 15:04:31,day,40
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/ptYOoabFHH https://t.co/1gavJWPgwu ,"7,73905926726177E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 15:28:46,day,40
Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/pVpTBJ64Ce https://t.co/Gyq5WdzErH ,"7,73959627482341E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 19:02:09,day,44
Καλαμάτα: Φονικό πέρασμα της κακοκαιρίας με δύο νεκρούς https://t.co/jf6hk7Gnpe ,7.73406135139365E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:22:46,night,7
"Καλαμάτα: Φωνάξτε βοήθεια, σπάστε τα τζάμια, θα πνιγούνε! https://t.co/0AKd2E8APk ","7,73981306883482E+017",el,,N,N,N,N,4,N,N,N,Y,N,N,N,48,08/09/2016 20:28:18,night,45
"Καλαμάτα: Φωνάξτε βοήθεια, σπάστε τα τζάμια, θα πνιγούνε! https://t.co/eXCgj9yPoo ","7,73981267779957E+017",el,,N,N,N,N,4,N,N,N,Y,N,N,N,48,08/09/2016 20:28:08,night,45
"Καλαμάτα: Φωνάξτε βοήθεια, σπάστε τα τζάμια, θα πνιγούνε! https://t.co/lXsZP4oyhX ","7,73981357143839E+017",el,,N,N,N,N,4,N,N,N,Y,N,N,N,48,08/09/2016 20:28:30,night,45
Καλαμάτα: Χωρίς σπίτι έχουν μείνει 34 οικογένειες! https://t.co/jJOiTZMmkS https://t.co/BtoGlpOMwb ,7.73525607124578E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,18,07/09/2016 14:17:30,day,15
"Καλαματα: Kalamata News, Καλαματα Καταστροφεσ, Kalamata, Μεσσηνια#Greece #GoogleTrendsWed Sep 07 18:57:15 EDT 2016 ",7.73656373737452E+017,und, ,N,N,N,N,4,N,N,N,Y,N,N,N,24,07/09/2016 22:57:07,night,23
Καλαμάτα: Oι κάτοικοι ξέσπασαν εναντίον Τόσκα και Κωνσταντινέα: Αντιμέτωπος με την οργή των… https://t.co/uVbzu4oYpR ,7.73579442304197E+017,el,,N,N,Y,N,N,N,Neg,N,N,N,N,N,18,07/09/2016 17:51:26,day,18
Καλαμάτα:Ζητούν από τους κατοίκους να μην πίνουν νερό! https://t.co/Jd4QvTn4Fz https://t.co/4PWftHTGLV ,"7,7390431655383E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 15:22:22,day,40
Καλαματας [newsbomb.gr]Κακοκαιρία: Μεγάλες οι ζημιές στην πόλη της Καλαμάτας - Ξεκίνησε η καταγραφή    https://t.co/SHWnvn0RXD ,7.73634275048428E+017,el,,N,N,Y,N,5,N,N,N,Y,N,N,N,24,07/09/2016 21:29:19,night,22
Καλημέρααα!! Δύσκολες ώρες για την Καλαμάτα.Τεράστιες οι ζημιές από την ολονύχτια δυνατή βροχή...πολλές... https://t.co/Ly4mRo7pbg ,7.73408276381831E+017,el,,N,Y,N,N,4,N,N,N,Y,N,N,N,6,07/09/2016 06:31:16,night,7
Καλημέρααα!! Δύσκολες ώρες για την Καλαμάτα.Τεράστιες οι ζημιές από την ολονύχτια δυνατή βροχή...πολλές... https://t.co/Pl8xb1p8YS ,7.73407939805778E+017,el,,N,Y,N,N,4,N,N,N,Y,N,N,N,6,07/09/2016 06:29:56,night,7
Κανένας υπουργός να πάει προς Καλαμάτα να δει τι συνέβη δεν είναι διαθέσιμος; Πνίγηκαν άνθρωποι και καταστράφηκαν περιουσίες... ,7.73465504744956E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 10:18:41,day,11
Κατακλυσμός στη Μεσσηνία – 3 γέροντες νεκροί από την πλημμύρα (φωτο + βίντεο ΣΟΚ!) https://t.co/aj41YesoN8 https://t.co/QacRNiUIKm ,7.73444963900293E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,8,07/09/2016 08:57:03,day,9
Κατακλυσμός στη Μεσσηνία – 3 γέροντες νεκροί από την πλημμύρα (φωτο + βίντεο ΣΟΚ!) https://t.co/vRIdaS2Od1 https://t.co/MvzYu98Wp2 ,7.73448542950138E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,8,07/09/2016 09:11:17,day,10
Καταστροφές χωρίς προηγούμενο στην Καλαμάτα (φωτογραφίες) - ΕΛΕΥΘΕΡΙΑ Online https://t.co/VI5ddT49ej ,7.73497715493839E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 12:26:40,day,13
Καταστροφές χωρίς προηγούμενο στην Καλαμάτα (φωτογραφίες) https://t.co/BdEcVwev53 ,7.73523009235739E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,18,07/09/2016 14:07:11,day,15
Καταστροφές χωρίς προηγούμενο στην Καλαμάτα (φωτογραφίες) https://t.co/JtIp8JvVsb ,7.73492376438538E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 12:05:27,day,13
Καταστροφές χωρίς προηγούμενο στην Καλαμάτα (φωτογραφίες) https://t.co/WcLAftKEVW ,7.73513389318504E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,18,07/09/2016 13:28:57,day,14
Καταστροφές χωρίς προηγούμενο στην Καλαμάτα (φωτογραφίες) https://t.co/XfaFh61ECQ ,7.73500452008817E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 12:37:33,day,13
Καταστροφές χωρίς προηγούμενο στην Καλαμάτα (φωτογραφίες): Δεν έχουν προηγούμενο οι… https://t.co/yxUH4j3jbt ,7.73502501920371E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 12:45:42,day,13
"Καταστροφές, πλημμύρες και μία νεκρή 63 ετών στην Καλαμάτα από την βροχόπτωση. https://t.co/CZmblQrdg5 ",7.73423316363272E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:31:02,day,8
Κατεβαίνει στη Μεσσηνία ο Τόσκας - Πού καταγράφονται ζημιές σε καλλιέργειες και ζωικό… https://t.co/iN7ZzwzyQJ ,7.73463731787461E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,12,07/09/2016 10:11:38,day,11
Κατεβαίνει στη Μεσσηνία ο Τόσκας - Πού καταγράφονται ζημιές σε καλλιέργειες και ζωικό… https://t.co/Q8NGK8MKBW ,7.73453254411883E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,12,07/09/2016 09:30:00,day,10
Κατεβαίνει στη Μεσσηνία ο Τόσκας - Πού καταγράφονται ζημιές σε καλλιέργειες και ζωικό… https://t.co/QasCgRWdCv ,7.73467621316522E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,12,07/09/2016 10:27:05,day,11
Κατεβαίνει στη Μεσσηνία ο Τόσκας - Πού καταγράφονται ζημιές σε καλλιέργειες και ζωικό… https://t.co/uDE7Wh5uCk ,7.73452144368378E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,12,07/09/2016 09:25:35,day,10
"Κι αυτος ο Σπίρτζης, πρώτη φορα του ξανασυμβαίνει να διαπιστωνει πως ο Σκαϊ ειναι η προεκταση του Κουμουτσακου; https://t.co/Vwq81QPzUG ","7,73852723091497E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 11:57:21,day,36
"Κι έτσι βγήκα Λιουμπλιάνα, και μπήκα Ιταλία. Λαγοκοιμήθηκα σε ένα πάρκινγκ έξω από την Πάδοβα, υπό καταιγίδα. ","7,73948007813357E+017",el,,N,Y,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 18:15:58,day,43
Κινητικότητα και… πλημμύρες στο Δημοτικό Συμβούλιο -  https://t.co/Pu2pFKwSkG https://t.co/RTFh76tmir ,"7,73952636794106E+017",el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,48,08/09/2016 18:34:22,day,43
ΚΚΕ Μεσσηνίας:  Αναδείχτηκε  η σοβαρή έλλειψη αντιπλημμυρικών έργων τόσο στην ύπαιθρο όσο και στην Καλαμάτα |  https://t.co/SheibjD67k ,7.7354482457421E+017,el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 15:33:52,day,16
ΚΚΕ Μεσσηνίας: Αναδείχτηκε  η σοβαρή έλλειψη αντιπλημμυρικών έργων τόσο στην ύπαιθρο όσο και στην Καλαμάτα  https://t.co/2rs5GeW1Nc ,7.73542234482418E+017,el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 15:23:35,day,16
"Κλείσανε την Εθνική οδό για Καλαμάτα &amp; μας πάνε απ'τον παλιό,που είναι σαν χωματόδρομος του '60 απο τις λάσπες.... ",7.73429797137551E+017,el,,N,N,Y,N,3,N,N,N,Y,N,N,N,8,07/09/2016 07:56:47,day,8
Κλειστός ο αυτοκινητόδρομος Αθηνών - Τριπόλεως - Καλαμάτα https://t.co/oOGJEPDXxx ,"7,73801725757043E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,36,08/09/2016 08:34:42,day,33
Κόκκινο το νερό της βρύσης μετά τις πλημμύρες στη Μεσσηνία – ΦΩΤΟ αναγνώστη -  https://t.co/31arzsi8fi ,7.73441015827009E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,8,07/09/2016 08:41:22,day,9
Κόκκινο το νερό της βρύσης μετά τις πλημμύρες στη Μεσσηνία – ΦΩΤΟ αναγνώστη - https://t.co/64MU6NcDyM https://t.co/qNuRL4KHTj ,7.73503264864207E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 12:48:43,day,13
Κόκκινο το νερό της βρύσης μετά τις πλημμύρες στη Μεσσηνία – ΦΩΤΟ αναγνώστη: #society https://t.co/W9Nc8ISaxZ https://t.co/K3KADlWlop ,7.73444588862337E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,8,07/09/2016 08:55:34,day,9
"Κρίσιμη κατάσταση στην Καλαμάτα: Ακυρώνονται οι πτήσεις στο αεροδρόμιο, έκλεισε η Μεσσήνη https://t.co/JAsPw4iuAl ",7.73547932670911E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,18,07/09/2016 15:46:13,day,16
"Κρίσιμη κατάσταση στην Καλαμάτα: Ακυρώνονται οι πτήσεις στο αεροδρόμιο, έκλεισε η Μεσσήνη https://t.co/wKS6hKeOap ",7.7354762496838E+017,el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,18,07/09/2016 15:45:00,day,16
Λακωνία-πλημμύρες: Αίσιο τέλος στον απεγκλωβισμό 25 ατόμων από κατάστημα https://t.co/gDohOqlgwM ,7.73509768644141E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,12,07/09/2016 13:14:34,day,14
Λακωνία: Και τέταρτος νεκρός από τις φονικές πλημμύρες - Παρασύρθηκε από τα ορμητικά νερά διαβάστε https://t.co/AsfIHlohZ0 ,7.73537941335511E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 15:06:31,day,16
Λακωνία: Και τέταρτος νεκρός από τις φονικές πλημμύρες -Παρασύρθηκε από τα ορμητικά νερά https://t.co/cFDm5vxh9L #κοινωνία ,7.73561564246921E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 16:40:23,day,17
Λακωνία: Και τέταρτος νεκρός από τις φονικές πλημμύρες -Παρασύρθηκε από τα ορμητικά νερά https://t.co/csEQewvU2D https://t.co/kXcWylr98W ,7.73514026806501E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 13:31:29,day,14
Λακωνία: Και τέταρτος νεκρός από τις φονικές πλημμύρες -Παρασύρθηκε από τα ορμητικά νερά https://t.co/ICbgTH49LO ,7.7351487180775E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 13:34:51,day,14
Λακωνία: Και τέταρτος νεκρός από τις φονικές πλημμύρες -Παρασύρθηκε από τα ορμητικά νερά https://t.co/UctGf5PPXL ,7.73508531551166E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,12,07/09/2016 13:09:39,day,14
Λακωνία: Και τέταρτος νεκρός από τις φονικές πλημμύρες https://t.co/ZcpdvzpeKU https://t.co/vP879t5whZ ,7.73567050090373E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 17:02:11,day,18
Λακωνία: O σκύλος που γλύτωσε από τις πλημμύρες και στεκόταν δίπλα στο νεκρό αφεντικό του Μια συγκινητική ιστορία... https://t.co/cdH0hw0Koo ,"7,73961574704882E+017",el,,N,N,N,Y,5,N,N,N,Y,N,N,N,48,08/09/2016 19:09:53,day,44
Λακωνία: O σκύλος που γλύτωσε από τις πλημμύρες και στεκόταν δίπλα στο νεκρό αφεντικό του Μια συγκινητική ιστορία... https://t.co/wkDFPooTcT ,"7,73960774226153E+017",el,,N,N,N,Y,5,N,N,N,Y,N,N,N,48,08/09/2016 19:06:42,day,44
